# Program:featureCounts v2.0.1; Command:"/home/kabil/.anaconda3/envs/binf/bin/featureCounts" "-p" "-a" "/mnt/h/data/refseq/NC_001133.9_genomic.gtf.gz" "-o" "feature_counts.txt" "/mnt/h/data/samfiles/SRR1302790.sam" "/mnt/h/data/samfiles/SRR1302792.sam" "-O" "-T" "12" "--tmpDir" "/mnt/h/tmp/" "-t" "exon" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	/mnt/h/data/samfiles/SRR1302790.sam	/mnt/h/data/samfiles/SRR1302792.sam
YBR012W-B	NC_001134.8	259869	265140	+	5272	12061	13795
YBR012W-A	NC_001134.8	259869	261191	+	1323	1990	4242
YBR013C	NC_001134.8	265492	265881	-	390	166	495
YNCB0007W	NC_001134.8	266378	266450	+	73	96	148
YBR014C	NC_001134.8	266725	267336	-	612	942	4544
YBR015C	NC_001134.8	267710	269503	-	1794	1501	8829
YBR016W	NC_001134.8	270247	270633	+	387	147	1870
YBR017C	NC_001134.8	270947	273703	-	2757	3134	11060
YBR018C	NC_001134.8	274427	275527	-	1101	10	111
YBR019C	NC_001134.8	276253	278352	-	2100	42	388
YNCB0008W	NC_001134.8	276805	280645	+	3841	131	1009
YBR020W	NC_001134.8	279021	280607	+	1587	84	500
YBR021W	NC_001134.8	281443	283344	+	1902	143	1633
YBR022W	NC_001134.8	283738	284271	+	534	304	915
YBR023C	NC_001134.8	284428	287925	-	3498	2911	8772
YBR024W	NC_001134.8	289445	290350	+	906	290	600
YBR025C	NC_001134.8	290681	291865	-	1185	3590	16794
YBR026C	NC_001134.8	292877	294019	-	1143	1092	3987
YBR027C	NC_001134.8	294024	294356	-	333	34	68
YBR028C	NC_001134.8	294425	296002	-	1578	374	1300
YBR029C	NC_001134.8	296369	297742	-	1374	534	1097
YBR030W	NC_001134.8	298292	299950	+	1659	742	2688
YBR031W	NC_001134.8	300166	301254	+	1089	13954	69472
YBR032W	NC_001134.8	301519	301821	+	303	15	252
YBR033W	NC_001134.8	301944	304703	+	2760	78	829
YBR034C	NC_001134.8	304930	305976	-	1047	989	4490
YBR035C	NC_001134.8	306269	306955	-	687	1821	5503
YNCB0009C	NC_001134.8	307185	307345	-	161	7519	26786
YNCB0010W	NC_001134.8	307587	308887	+	1301	5047	2585
YBR036C	NC_001134.8	309081	310313	-	1233	2582	9098
YBR037C	NC_001134.8	310565	311452	-	888	692	1409
YBR038W	NC_001134.8	311898	314789	+	2892	417	2226
YBR039W	NC_001134.8	315575	316510	+	936	696	9432
YBR040W	NC_001134.8	316968	317864	+	897	1	11
YBR041W	NC_001134.8	318266	320275	+	2010	1576	3801
YBR042C	NC_001134.8	320416	321609	-	1194	622	1977
YBR043C	NC_001134.8	321876	323945	-	2070	793	3280
YBR044C	NC_001134.8	324341	326059	-	1719	392	1533
YNCB0011C	NC_001134.8	326792	326865	-	74	296	289
YBR045C	NC_001134.8	328173	330092	-	1920	75	336
YBR046C	NC_001134.8	330507	331511	-	1005	220	724
YBR047W	NC_001134.8	331833	332360	+	528	57	66
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	4627	26462
YBR049C	NC_001134.8	334386	336818	-	2433	803	4842
YBR050C	NC_001134.8	337183	338199	-	1017	14	123
YBR052C	NC_001134.8	338720	339352	-	633	1300	3940
YBR053C	NC_001134.8	339675	340751	-	1077	605	2857
YBR054W	NC_001134.8	343101	344135	+	1035	356	82761
YBR055C	NC_001134.8	344602	347301	-	2700	1387	5281
YNCB0012W	NC_001134.8	347603	347686	+	84	162	277
YBR056W	NC_001134.8	347879	349384	+	1506	1313	3453
YNCB0013W	NC_001134.8	350827	350898	+	72	65399	49547
YBR056W-A	NC_001134.8	351255	351455	+	201	104	2011
YBR057C	NC_001134.8	352193	353293	-	1101	236	764
YBR058C	NC_001134.8	353672	356017	-	2346	1123	3949
YBR058C-A	NC_001134.8	356324	356566	-	243	1161	3039
YBR059C	NC_001134.8	356861	360187	-	3327	544	2663
YBR060C	NC_001134.8	360652	362514	-	1863	245	1425
YBR061C	NC_001134.8	364787	365719	-	933	206	1284
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	585	2099
YBR063C	NC_001134.8	366970	368184	-	1215	314	2330
YBR065C	NC_001134.8	368584	369678	-	1095	480	3458
YBR066C	NC_001134.8	370037	370699	-	663	334	990
YBR067C	NC_001134.8	372103	372735	-	633	672	7851
YBR068C	NC_001134.8	373861	375690	-	1830	3687	30786
YBR069C	NC_001134.8	376574	378433	-	1860	7517	23911
YNCB0014W	NC_001134.8	376610	378633	+	2024	7507	23961
YBR070C	NC_001134.8	379221	379934	-	714	403	1680
YBR071W	NC_001134.8	380411	381046	+	636	152	1475
YBR072W	NC_001134.8	382030	382674	+	645	110	9759
YBR072C-A	NC_001134.8	382860	383021	-	162	4	76
YBR073W	NC_001134.8	383112	385988	+	2877	2835	10934
YBR074W	NC_001134.8	386286	389216	+	2931	2773	9296
YBR076W	NC_001134.8	390227	391291	+	1065	27	506
YBR077C	NC_001134.8	391805	392293	-	489	584	1889
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	4109	11306
YBR079C	NC_001134.8	395383	398277	-	2895	2272	19951
YBR080C	NC_001134.8	398614	400890	-	2277	592	4810
YBR081C	NC_001134.8	401253	405251	-	3999	984	4033
YNCB0015W	NC_001134.8	405878	405949	+	72	311	446
YNCB0016W	NC_001134.8	405960	406031	+	72	2214	5608
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	1435	8692
YBR083W	NC_001134.8	409169	410629	+	1461	117	462
YBR084W	NC_001134.8	411054	413981	+	2928	9394	32536
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	8292	27845
YBR085W	NC_001134.8	415983	416906	+	924	786	326
YBR085C-A	NC_001134.8	418907	419164	-	258	512	16559
YBR086C	NC_001134.8	420201	423041	-	2841	1060	8169
YBR087W	NC_001134.8	423765	424829	+	1065	682	3072
YBR088C	NC_001134.8	424990	425766	-	777	678	1997
YBR089C-A	NC_001134.8	426190	426489	-	300	1041	6051
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	592	3456
YBR091C	NC_001134.8	427155	427484	-	330	195	761
YBR092C	NC_001134.8	427698	429101	-	1404	1552	12031
YBR093C	NC_001134.8	429548	430951	-	1404	754	2067
YBR094W	NC_001134.8	432036	434297	+	2262	878	2283
YBR095C	NC_001134.8	434406	435698	-	1293	692	2008
YBR096W	NC_001134.8	436021	436713	+	693	1151	2774
YBR097W	NC_001134.8	436951	441315	+	4365	653	1995
YBR098W	NC_001134.8	441515	443590	+	2076	168	967
YBR101C	NC_001134.8	443821	444693	-	873	1631	6702
YBR102C	NC_001134.8	445062	447323	-	2262	513	2435
YBR103W	NC_001134.8	447709	449316	+	1608	1234	3215
YBR104W	NC_001134.8	449667	450656	+	990	1671	3777
YBR105C	NC_001134.8	450881	451969	-	1089	112	6863
YBR106W	NC_001134.8	452658	453224	+	567	12800	20920
YBR107C	NC_001134.8	453793	454530	-	738	148	950
YBR108W	NC_001134.8	454822	457665	+	2844	104	1725
YBR109C	NC_001134.8	457919	458362	-	444	234	1413
YBR110W	NC_001134.8	458872	460221	+	1350	1029	3755
YBR111C	NC_001134.8	461178	461873	-	696	484	2161
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	350	990
YBR112C	NC_001134.8	462870	465770	-	2901	403	1842
YBR114W	NC_001134.8	467248	469620	+	2373	356	4704
YBR115C	NC_001134.8	469748	473926	-	4179	3445	9
YBR117C	NC_001134.8	474392	476437	-	2046	121	5316
YBR118W	NC_001134.8	477671	479047	+	1377	259047	745315
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	211	1119
YBR120C	NC_001134.8	480435	480923	-	489	64	179
YBR121C	NC_001134.8	481364	483367	-	2004	6526	14001
YBR122C	NC_001134.8	483970	484503	-	534	940	2088
YBR123C	NC_001134.8	484742	486691	-	1950	330	1651
YBR125C	NC_001134.8	487199	488380	-	1182	650	2005
YBR126C	NC_001134.8	488905	490392	-	1488	2001	14045
YBR126W-A	NC_001134.8	490850	491056	+	207	2963	8110
YBR127C	NC_001134.8	491269	492822	-	1554	8239	24365
YBR128C	NC_001134.8	493081	494115	-	1035	76	202
YBR129C	NC_001134.8	494353	495339	-	987	819	818
YBR130C	NC_001134.8	495592	496869	-	1278	247	1223
YBR131W	NC_001134.8	497163	499277	+	2115	250	1111
YBR132C	NC_001134.8	499652	501442	-	1791	139	751
YBR133C	NC_001134.8	501804	504287	-	2484	1389	4386
YBR135W	NC_001134.8	504854	505306	+	453	57	473
YBR136W	NC_001134.8	505668	512774	+	7107	765	4120
YBR137W	NC_001134.8	513044	513583	+	540	561	2494
YBR138C	NC_001134.8	513762	515336	-	1575	87	456
YBR139W	NC_001134.8	515664	517190	+	1527	313	3033
YBR140C	NC_001134.8	517350	526628	-	9279	1552	10510
YBR141C	NC_001134.8	527025	528038	-	1014	398	2999
YBR142W	NC_001134.8	528317	530638	+	2322	1345	6459
YBR143C	NC_001134.8	530869	532182	-	1314	4453	16760
YBR144C	NC_001134.8	533235	533549	-	315	2	8
YBR145W	NC_001134.8	533762	534817	+	1056	793	861
YBR146W	NC_001134.8	535260	536096	+	837	296	885
YBR147W	NC_001134.8	536575	537465	+	891	18	57
YBR148W	NC_001134.8	537876	539705	+	1830	33	276
YBR149W	NC_001134.8	539987	541021	+	1035	902	9256
YBR150C	NC_001134.8	541209	544493	-	3285	803	2508
YBR151W	NC_001134.8	545028	545978	+	951	1534	4485
YBR152W	NC_001134.8	546376	547251	+	876	186	941
YBR153W	NC_001134.8	547460	548194	+	735	286	2000
YBR154C	NC_001134.8	548362	549009	-	648	2256	9679
YBR155W	NC_001134.8	549771	550928	+	1158	463	2653
YBR156C	NC_001134.8	551104	553200	-	2097	58	761
YBR157C	NC_001134.8	553543	554310	-	768	119	450
YBR158W	NC_001134.8	556549	558198	+	1650	2160	10025
YBR159W	NC_001134.8	558685	559728	+	1044	1876	5643
YBR160W	NC_001134.8	560078	560974	+	897	601	2614
YBR161W	NC_001134.8	561634	562764	+	1131	316	954
YBR162C	NC_001134.8	563203	564570	-	1368	2513	7723
YBR162W-A	NC_001134.8	565231	565428	+	198	1641	3705
YBR163W	NC_001134.8	565723	567480	+	1758	474	1701
YBR164C	NC_001134.8	567875	568426	-	552	1760	2876
YBR165W	NC_001134.8	568852	569685	+	834	293	1078
YBR166C	NC_001134.8	569842	571200	-	1359	1104	4090
YBR167C	NC_001134.8	571468	571890	-	423	85	656
YBR168W	NC_001134.8	572371	573612	+	1242	443	941
YBR169C	NC_001134.8	573915	575996	-	2082	333	15308
YBR170C	NC_001134.8	576344	578086	-	1743	452	2601
YBR171W	NC_001134.8	578364	578984	+	621	300	1349
YBR172C	NC_001134.8	579150	581372	-	2223	898	8418
YBR173C	NC_001134.8	581726	582172	-	447	192	1467
YBR175W	NC_001134.8	582408	583355	+	948	1098	7684
YBR176W	NC_001134.8	583720	584658	+	939	554	1298
YBR177C	NC_001134.8	584807	586162	-	1356	249	2714
YBR179C	NC_001134.8	586547	589114	-	2568	462	1929
YBR180W	NC_001134.8	589741	591459	+	1719	55	433
YBR181C	NC_001134.8;NC_001134.8	591712;592769	592416;592774	-;-	711	65252	113674
YBR182C	NC_001134.8	593506	594864	-	1359	96	1506
YBR182C-A	NC_001134.8	595361	595555	-	195	2	82
YBR183W	NC_001134.8	596115	597065	+	951	117	3648
YBR184W	NC_001134.8	597363	598934	+	1572	104	291
YBR185C	NC_001134.8	599123	599959	-	837	131	416
YBR186W	NC_001134.8;NC_001134.8	600553;602217	602103;602360	+;+	1695	29	277
YBR187W	NC_001134.8	602634	603476	+	843	4483	6976
YBR188C	NC_001134.8	603685	604107	-	423	61	400
YBR189W	NC_001134.8;NC_001134.8	604508;604928	604514;605508	+;+	588	17709	77833
YBR191W	NC_001134.8;NC_001134.8	606270;606669	606280;607140	+;+	483	13531	52748
YBR192W	NC_001134.8	607652	608785	+	1134	815	2294
YBR193C	NC_001134.8	609082	609753	-	672	86	669
YBR194W	NC_001134.8	610038	610409	+	372	98	342
YBR195C	NC_001134.8	610614	611882	-	1269	181	878
YBR196C	NC_001134.8	612236	613900	-	1665	51903	115087
YBR196C-A	NC_001134.8	614024	614173	-	150	6	55
YBR196C-B	NC_001134.8	614526	614630	-	105	32	371
YBR197C	NC_001134.8	615203	615856	-	654	208	1951
YBR198C	NC_001134.8	616127	618523	-	2397	1173	3413
YBR199W	NC_001134.8	618909	620303	+	1395	2711	6927
YBR200W	NC_001134.8	620872	622527	+	1656	908	2808
YBR200W-A	NC_001134.8	622983	623147	+	165	4	4
YBR201W	NC_001134.8	623576	624211	+	636	489	1317
YBR201C-A	NC_001134.8	624493	624696	-	204	3	41
YBR202W	NC_001134.8	625772	628309	+	2538	749	3384
YBR203W	NC_001134.8	629168	631942	+	2775	223	1196
