# Program:featureCounts v2.0.2; Command:"c:/bmes/featurecounts.w64.exe" "-a" "C:\Users\GavinGao\AppData\Local\Temp\bmes\GCF_000146045.2_R64_genomic.gffGCF_000146045.2_R64045146000GCFallgenomesftp.ncbi.nlm.nih.gov" "-o" "mutation.txt" "C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302792_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam" "-O" "--tmpDir" "C:/Users/GavinGao/AppData/Local/Temp/bmes" "-T" "32" "-t" "exon" "-g" "locus_tag" 
Geneid	Chr	Start	End	Strand	Length	C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302792_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam
YAR003W	NC_001133.9	155005	156285	+	1281	10
YAR007C	NC_001133.9	156754	158619	-	1866	5
YAR008W	NC_001133.9	158966	159793	+	828	0
YAR009C	NC_001133.9	160597	164187	-	3591	23
YAR010C	NC_001133.9	164544	165866	-	1323	24
YNCA0004W	NC_001133.9	166267	166339	+	73	83
YAR014C	NC_001133.9	166742	168871	-	2130	19
YAR015W	NC_001133.9	169375	170295	+	921	30
YAR018C	NC_001133.9	170396	171703	-	1308	12
YAR019C	NC_001133.9	172211	175135	-	2925	10
YAR020C	NC_001133.9	176856	177023	-	168	1
YAR023C	NC_001133.9	179281	179820	-	540	0
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	19
YNCA0006C	NC_001133.9	182522	182603	-	82	6
YAR027W	NC_001133.9	183770	184477	+	708	6
YAR028W	NC_001133.9	184892	185596	+	705	18
YAR029W	NC_001133.9	186321	186545	+	225	3
YAR031W	NC_001133.9	186836	187732	+	897	2
YAR033W	NC_001133.9	188107	188811	+	705	4
YAR035W	NC_001133.9	190193	192256	+	2064	0
YAR035C-A	NC_001133.9	192337	192417	-	81	0
YAR042W	NC_001133.9	192619	196185	+	3567	18
YAR050W	NC_001133.9	203403	208016	+	4614	5
YAR061W	NC_001133.9	218140	219145	+	1006	2
YAR064W	NC_001133.9	220198	220497	+	300	2
YAR066W	NC_001133.9	221049	221660	+	612	2
YAR068W	NC_001133.9	222406	222891	+	486	4
YAR071W	NC_001133.9	225460	226863	+	1404	1
YBL113C	NC_001134.8	280	2658	-	2379	24
YBL112C	NC_001134.8	2582	2899	-	318	2
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	8
YBL108C-A	NC_001134.8	7605	7733	-	129	0
YNCB0001W	NC_001134.8	9583	9666	+	84	1
YBL107C	NC_001134.8	9961	10551	-	591	1
YBL106C	NC_001134.8	10847	13879	-	3033	4
YBL105C	NC_001134.8	14241	17696	-	3456	13
YBL104C	NC_001134.8	18177	21293	-	3117	17
YBL103C	NC_001134.8	22076	23536	-	1461	5
YBL102W	NC_001134.8	24098	24745	+	648	6
YBL101C	NC_001134.8	24946	28299	-	3354	9
YBL100W-C	NC_001134.8	28427	28546	+	120	0
YBL100W-B	NC_001134.8	29935	35248	+	5314	10
YBL100W-A	NC_001134.8	29935	31251	+	1317	1
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	1
YBL099W	NC_001134.8	37053	38690	+	1638	82
YBL098W	NC_001134.8	39145	40527	+	1383	3
YBL097W	NC_001134.8	40831	43095	+	2265	1
YBL095W	NC_001134.8	43277	44089	+	813	8
YBL093C	NC_001134.8	44256	44918	-	663	17
YBL092W	NC_001134.8	45978	46370	+	393	143
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	0
YBL091C	NC_001134.8	47363	48628	-	1266	29
YBL090W	NC_001134.8	48825	49358	+	534	5
YBL089W	NC_001134.8	49574	50953	+	1380	2
YBL088C	NC_001134.8	51019	59382	-	8364	8
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	177
YBL086C	NC_001134.8	61202	62602	-	1401	9
YBL085W	NC_001134.8	63876	66818	+	2943	4
YBL084C	NC_001134.8	67169	69445	-	2277	2
YBL082C	NC_001134.8	69751	71127	-	1377	12
YBL081W	NC_001134.8	71866	72972	+	1107	5
YBL080C	NC_001134.8	73070	74695	-	1626	2
YBL079W	NC_001134.8	75259	79767	+	4509	26
YBL078C	NC_001134.8	80378	80731	-	354	4
YBL076C	NC_001134.8	81043	84261	-	3219	158
YBL075C	NC_001134.8	84499	86448	-	1950	12
YBL074C	NC_001134.8	86722	87789	-	1068	4
YNCB0003W	NC_001134.8	88190	88277	+	88	72
YBL072C	NC_001134.8	88523	89125	-	603	399
YBL071C-B	NC_001134.8	89458	89556	-	99	0
YBL071W-A	NC_001134.8	89978	90226	+	249	0
YBL071C	NC_001134.8	90223	90531	-	309	1
YBL069W	NC_001134.8	90741	92030	+	1290	94
YBL068W	NC_001134.8	92414	93394	+	981	7
YBL067C	NC_001134.8	93639	95882	-	2244	4
YBL066C	NC_001134.8	96669	100115	-	3447	2
YBL064C	NC_001134.8	100371	101156	-	786	4
YBL063W	NC_001134.8	101886	105221	+	3336	2
YBL061C	NC_001134.8	105316	107406	-	2091	14
YBL060W	NC_001134.8	107932	109995	+	2064	9
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	1
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	6
YBL058W	NC_001134.8	111437	112708	+	1272	11
YBL057C	NC_001134.8	112801	113427	-	627	9
YBL056W	NC_001134.8	113762	115168	+	1407	24
YBL055C	NC_001134.8	115573	116829	-	1257	14
YBL054W	NC_001134.8	117589	119166	+	1578	19
YBL052C	NC_001134.8	119379	121874	-	2496	11
YBL051C	NC_001134.8	122753	124759	-	2007	7
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	11
YBL049W	NC_001134.8	126828	127244	+	417	3
YBL048W	NC_001134.8	127299	127610	+	312	0
YBL047C	NC_001134.8	127895	132040	-	4146	31
YBL046W	NC_001134.8	132424	133749	+	1326	5
YBL045C	NC_001134.8	134143	135516	-	1374	27
YBL044W	NC_001134.8	135998	136366	+	369	0
YBL043W	NC_001134.8	136688	137461	+	774	5
YBL042C	NC_001134.8	138341	140260	-	1920	10
YBL041W	NC_001134.8	141247	141972	+	726	39
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	12
YBL039W-B	NC_001134.8	143393	143572	+	180	4
YBL039C	NC_001134.8	143989	145728	-	1740	46
YBL038W	NC_001134.8	146187	146885	+	699	14
YBL037W	NC_001134.8	147209	150286	+	3078	7
YBL036C	NC_001134.8	150447	151220	-	774	10
YBL035C	NC_001134.8	151493	153610	-	2118	3
YBL034C	NC_001134.8	153848	158389	-	4542	7
YBL033C	NC_001134.8	158656	159693	-	1038	6
YBL032W	NC_001134.8	160184	161329	+	1146	9
YBL031W	NC_001134.8	161699	162715	+	1017	2
YBL030C	NC_001134.8	163041	163997	-	957	65
YBL029C-A	NC_001134.8	164488	164772	-	285	0
YBL029W	NC_001134.8	166134	167264	+	1131	3
YBL028C	NC_001134.8	167518	167838	-	321	24
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	177
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	5
YBL025W	NC_001134.8	171481	171918	+	438	3
YBL024W	NC_001134.8	172534	174588	+	2055	21
YBL023C	NC_001134.8	174920	177526	-	2607	12
YBL022C	NC_001134.8	177874	181275	-	3402	39
YBL021C	NC_001134.8	181660	182094	-	435	2
YBL020W	NC_001134.8	182401	184125	+	1725	5
YBL019W	NC_001134.8	184353	185915	+	1563	2
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	1
YBL017C	NC_001134.8	186844	191583	-	4740	45
YBL016W	NC_001134.8	192451	193512	+	1062	18
YBL015W	NC_001134.8	194122	195702	+	1581	17
YNCB0004W	NC_001134.8	197494	197567	+	74	0
YNCB0005C	NC_001134.8	197629	197699	-	71	3
YBL014C	NC_001134.8	199064	201748	-	2685	16
YBL013W	NC_001134.8	202056	203261	+	1206	1
YBL011W	NC_001134.8	203538	205817	+	2280	20
YBL010C	NC_001134.8	206107	206949	-	843	0
YBL009W	NC_001134.8	207194	209224	+	2031	6
YBL008W-A	NC_001134.8	209409	209648	+	240	0
YBL008W	NC_001134.8	209653	212175	+	2523	11
YBL007C	NC_001134.8	212632	216366	-	3735	24
YBL006C	NC_001134.8	216587	217129	-	543	8
YBL005W	NC_001134.8	217470	220400	+	2931	11
YBL005W-B	NC_001134.8	221330	226598	+	5269	54
YBL005W-A	NC_001134.8	221330	222652	+	1323	20
YNCB0006W	NC_001134.8	227075	227156	+	82	7
YBL004W	NC_001134.8	227636	235117	+	7482	81
YBL003C	NC_001134.8	235394	235792	-	399	70
YBL002W	NC_001134.8	236492	236887	+	396	8
YBL001C	NC_001134.8	237153	237467	-	315	21
YBR001C	NC_001134.8	238941	241283	-	2343	26
YBR002C	NC_001134.8	241708	242568	-	861	9
YBR003W	NC_001134.8	242809	244230	+	1422	2
YBR004C	NC_001134.8	244366	245667	-	1302	4
YBR005W	NC_001134.8	245906	246547	+	642	18
YBR006W	NC_001134.8	247010	248503	+	1494	9
YBR007C	NC_001134.8	248806	251016	-	2211	0
YBR008C	NC_001134.8	252563	254209	-	1647	8
YBR009C	NC_001134.8	255373	255684	-	312	59
YBR010W	NC_001134.8	256331	256741	+	411	163
YBR011C	NC_001134.8	257112	257975	-	864	63
YBR012W-B	NC_001134.8	259869	265140	+	5272	42
YBR012W-A	NC_001134.8	259869	261191	+	1323	18
YBR013C	NC_001134.8	265492	265881	-	390	0
YNCB0007W	NC_001134.8	266378	266450	+	73	1
YBR014C	NC_001134.8	266725	267336	-	612	24
YBR015C	NC_001134.8	267710	269503	-	1794	21
YBR016W	NC_001134.8	270247	270633	+	387	7
YBR017C	NC_001134.8	270947	273703	-	2757	31
YBR018C	NC_001134.8	274427	275527	-	1101	2
YBR019C	NC_001134.8	276253	278352	-	2100	0
YNCB0008W	NC_001134.8	276805	280645	+	3841	5
YBR020W	NC_001134.8	279021	280607	+	1587	3
YBR021W	NC_001134.8	281443	283344	+	1902	9
YBR022W	NC_001134.8	283738	284271	+	534	0
YBR023C	NC_001134.8	284428	287925	-	3498	17
YBR024W	NC_001134.8	289445	290350	+	906	0
YBR025C	NC_001134.8	290681	291865	-	1185	53
YBR026C	NC_001134.8	292877	294019	-	1143	6
YBR027C	NC_001134.8	294024	294356	-	333	0
YBR028C	NC_001134.8	294425	296002	-	1578	3
YBR029C	NC_001134.8	296369	297742	-	1374	5
YBR030W	NC_001134.8	298292	299950	+	1659	6
YBR031W	NC_001134.8	300166	301254	+	1089	258
YBR032W	NC_001134.8	301519	301821	+	303	0
YBR033W	NC_001134.8	301944	304703	+	2760	1
YBR034C	NC_001134.8	304930	305976	-	1047	12
YBR035C	NC_001134.8	306269	306955	-	687	14
YNCB0009C	NC_001134.8	307185	307345	-	161	94
YNCB0010W	NC_001134.8	307587	308887	+	1301	15
YBR036C	NC_001134.8	309081	310313	-	1233	34
YBR037C	NC_001134.8	310565	311452	-	888	7
YBR038W	NC_001134.8	311898	314789	+	2892	9
YBR039W	NC_001134.8	315575	316510	+	936	44
YBR040W	NC_001134.8	316968	317864	+	897	0
YBR041W	NC_001134.8	318266	320275	+	2010	8
YBR042C	NC_001134.8	320416	321609	-	1194	5
YBR043C	NC_001134.8	321876	323945	-	2070	14
YBR044C	NC_001134.8	324341	326059	-	1719	6
YNCB0011C	NC_001134.8	326792	326865	-	74	1
YBR045C	NC_001134.8	328173	330092	-	1920	0
YBR046C	NC_001134.8	330507	331511	-	1005	0
YBR047W	NC_001134.8	331833	332360	+	528	0
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	84
YBR049C	NC_001134.8	334386	336818	-	2433	13
YBR050C	NC_001134.8	337183	338199	-	1017	0
YBR052C	NC_001134.8	338720	339352	-	633	9
YBR053C	NC_001134.8	339675	340751	-	1077	13
YBR054W	NC_001134.8	343101	344135	+	1035	256
YBR055C	NC_001134.8	344602	347301	-	2700	18
YNCB0012W	NC_001134.8	347603	347686	+	84	1
YBR056W	NC_001134.8	347879	349384	+	1506	9
YNCB0013W	NC_001134.8	350827	350898	+	72	129
YBR056W-A	NC_001134.8	351255	351455	+	201	8
YBR057C	NC_001134.8	352193	353293	-	1101	1
YBR058C	NC_001134.8	353672	356017	-	2346	12
YBR058C-A	NC_001134.8	356324	356566	-	243	14
YBR059C	NC_001134.8	356861	360187	-	3327	14
YBR060C	NC_001134.8	360652	362514	-	1863	6
YBR061C	NC_001134.8	364787	365719	-	933	5
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	0
YBR063C	NC_001134.8	366970	368184	-	1215	6
YBR065C	NC_001134.8	368584	369678	-	1095	7
YBR066C	NC_001134.8	370037	370699	-	663	3
YBR067C	NC_001134.8	372103	372735	-	633	27
YBR068C	NC_001134.8	373861	375690	-	1830	99
YBR069C	NC_001134.8	376574	378433	-	1860	71
YNCB0014W	NC_001134.8	376610	378633	+	2024	70
YBR070C	NC_001134.8	379221	379934	-	714	9
YBR071W	NC_001134.8	380411	381046	+	636	3
YBR072W	NC_001134.8	382030	382674	+	645	49
YBR072C-A	NC_001134.8	382860	383021	-	162	0
YBR073W	NC_001134.8	383112	385988	+	2877	34
YBR074W	NC_001134.8	386286	389216	+	2931	31
YBR076W	NC_001134.8	390227	391291	+	1065	4
YBR077C	NC_001134.8	391805	392293	-	489	4
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	27
YBR079C	NC_001134.8	395383	398277	-	2895	65
YBR080C	NC_001134.8	398614	400890	-	2277	12
YBR081C	NC_001134.8	401253	405251	-	3999	11
YNCB0015W	NC_001134.8	405878	405949	+	72	0
YNCB0016W	NC_001134.8	405960	406031	+	72	23
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	23
YBR083W	NC_001134.8	409169	410629	+	1461	0
YBR084W	NC_001134.8	411054	413981	+	2928	120
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	83
YBR085W	NC_001134.8	415983	416906	+	924	3
YBR085C-A	NC_001134.8	418907	419164	-	258	41
YBR086C	NC_001134.8	420201	423041	-	2841	35
YBR087W	NC_001134.8	423765	424829	+	1065	8
YBR088C	NC_001134.8	424990	425766	-	777	10
YBR089C-A	NC_001134.8	426190	426489	-	300	27
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	12
YBR091C	NC_001134.8	427155	427484	-	330	3
YBR092C	NC_001134.8	427698	429101	-	1404	43
YBR093C	NC_001134.8	429548	430951	-	1404	4
YBR094W	NC_001134.8	432036	434297	+	2262	3
YBR095C	NC_001134.8	434406	435698	-	1293	5
YBR096W	NC_001134.8	436021	436713	+	693	7
YBR097W	NC_001134.8	436951	441315	+	4365	9
YBR098W	NC_001134.8	441515	443590	+	2076	6
YBR101C	NC_001134.8	443821	444693	-	873	20
YBR102C	NC_001134.8	445062	447323	-	2262	7
YBR103W	NC_001134.8	447709	449316	+	1608	6
YBR104W	NC_001134.8	449667	450656	+	990	9
YBR105C	NC_001134.8	450881	451969	-	1089	23
YBR106W	NC_001134.8	452658	453224	+	567	74
YBR107C	NC_001134.8	453793	454530	-	738	1
YBR108W	NC_001134.8	454822	457665	+	2844	7
YBR109C	NC_001134.8	457919	458362	-	444	2
YBR110W	NC_001134.8	458872	460221	+	1350	12
YBR111C	NC_001134.8	461178	461873	-	696	6
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	5
YBR112C	NC_001134.8	462870	465770	-	2901	7
YBR114W	NC_001134.8	467248	469620	+	2373	13
YBR115C	NC_001134.8	469748	473926	-	4179	0
YBR117C	NC_001134.8	474392	476437	-	2046	11
YBR118W	NC_001134.8	477671	479047	+	1377	2431
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	3
YBR120C	NC_001134.8	480435	480923	-	489	1
YBR121C	NC_001134.8	481364	483367	-	2004	53
YBR122C	NC_001134.8	483970	484503	-	534	7
YBR123C	NC_001134.8	484742	486691	-	1950	2
YBR125C	NC_001134.8	487199	488380	-	1182	6
YBR126C	NC_001134.8	488905	490392	-	1488	61
YBR126W-A	NC_001134.8	490850	491056	+	207	36
YBR127C	NC_001134.8	491269	492822	-	1554	77
YBR128C	NC_001134.8	493081	494115	-	1035	2
YBR129C	NC_001134.8	494353	495339	-	987	5
YBR130C	NC_001134.8	495592	496869	-	1278	7
YBR131W	NC_001134.8	497163	499277	+	2115	6
YBR132C	NC_001134.8	499652	501442	-	1791	0
YBR133C	NC_001134.8	501804	504287	-	2484	12
YBR135W	NC_001134.8	504854	505306	+	453	0
YBR136W	NC_001134.8	505668	512774	+	7107	13
YBR137W	NC_001134.8	513044	513583	+	540	10
YBR138C	NC_001134.8	513762	515336	-	1575	1
YBR139W	NC_001134.8	515664	517190	+	1527	11
YBR140C	NC_001134.8	517350	526628	-	9279	40
YBR141C	NC_001134.8	527025	528038	-	1014	16
YBR142W	NC_001134.8	528317	530638	+	2322	13
YBR143C	NC_001134.8	530869	532182	-	1314	50
YBR144C	NC_001134.8	533235	533549	-	315	0
YBR145W	NC_001134.8	533762	534817	+	1056	2
YBR146W	NC_001134.8	535260	536096	+	837	1
YBR147W	NC_001134.8	536575	537465	+	891	0
YBR148W	NC_001134.8	537876	539705	+	1830	0
YBR149W	NC_001134.8	539987	541021	+	1035	39
YBR150C	NC_001134.8	541209	544493	-	3285	3
YBR151W	NC_001134.8	545028	545978	+	951	16
YBR152W	NC_001134.8	546376	547251	+	876	2
YBR153W	NC_001134.8	547460	548194	+	735	7
YBR154C	NC_001134.8	548362	549009	-	648	29
YBR155W	NC_001134.8	549771	550928	+	1158	12
YBR156C	NC_001134.8	551104	553200	-	2097	3
YBR157C	NC_001134.8	553543	554310	-	768	2
YBR158W	NC_001134.8	556549	558198	+	1650	34
YBR159W	NC_001134.8	558685	559728	+	1044	24
YBR160W	NC_001134.8	560078	560974	+	897	10
YBR161W	NC_001134.8	561634	562764	+	1131	2
YBR162C	NC_001134.8	563203	564570	-	1368	28
YBR162W-A	NC_001134.8	565231	565428	+	198	13
YBR163W	NC_001134.8	565723	567480	+	1758	3
YBR164C	NC_001134.8	567875	568426	-	552	5
YBR165W	NC_001134.8	568852	569685	+	834	1
YBR166C	NC_001134.8	569842	571200	-	1359	16
YBR167C	NC_001134.8	571468	571890	-	423	1
YBR168W	NC_001134.8	572371	573612	+	1242	0
YBR169C	NC_001134.8	573915	575996	-	2082	54
YBR170C	NC_001134.8	576344	578086	-	1743	9
YBR171W	NC_001134.8	578364	578984	+	621	5
YBR172C	NC_001134.8	579150	581372	-	2223	30
YBR173C	NC_001134.8	581726	582172	-	447	6
YBR175W	NC_001134.8	582408	583355	+	948	39
YBR176W	NC_001134.8	583720	584658	+	939	3
YBR177C	NC_001134.8	584807	586162	-	1356	6
YBR179C	NC_001134.8	586547	589114	-	2568	9
YBR180W	NC_001134.8	589741	591459	+	1719	0
YBR181C	NC_001134.8;NC_001134.8	591712;592769	592416;592774	-;-	711	403
YBR182C	NC_001134.8	593506	594864	-	1359	2
YBR182C-A	NC_001134.8	595361	595555	-	195	0
YBR183W	NC_001134.8	596115	597065	+	951	6
YBR184W	NC_001134.8	597363	598934	+	1572	0
YBR185C	NC_001134.8	599123	599959	-	837	0
YBR186W	NC_001134.8;NC_001134.8	600553;602217	602103;602360	+;+	1695	0
YBR187W	NC_001134.8	602634	603476	+	843	23
YBR188C	NC_001134.8	603685	604107	-	423	2
YBR189W	NC_001134.8;NC_001134.8	604508;604928	604514;605508	+;+	588	249
YBR191W	NC_001134.8;NC_001134.8	606270;606669	606280;607140	+;+	483	163
YBR192W	NC_001134.8	607652	608785	+	1134	5
YBR193C	NC_001134.8	609082	609753	-	672	1
YBR194W	NC_001134.8	610038	610409	+	372	1
YBR195C	NC_001134.8	610614	611882	-	1269	2
YBR196C	NC_001134.8	612236	613900	-	1665	409
YBR196C-A	NC_001134.8	614024	614173	-	150	0
YBR196C-B	NC_001134.8	614526	614630	-	105	2
YBR197C	NC_001134.8	615203	615856	-	654	7
YBR198C	NC_001134.8	616127	618523	-	2397	10
YBR199W	NC_001134.8	618909	620303	+	1395	25
YBR200W	NC_001134.8	620872	622527	+	1656	10
YBR200W-A	NC_001134.8	622983	623147	+	165	0
YBR201W	NC_001134.8	623576	624211	+	636	4
YBR201C-A	NC_001134.8	624493	624696	-	204	0
YBR202W	NC_001134.8	625772	628309	+	2538	14
YBR203W	NC_001134.8	629168	631942	+	2775	5
YBR204C	NC_001134.8	632254	633381	-	1128	2
YBR205W	NC_001134.8	633622	634836	+	1215	22
YBR207W	NC_001134.8	635146	636543	+	1398	24
YBR208C	NC_001134.8	636703	642210	-	5508	23
YBR209W	NC_001134.8	642583	642900	+	318	0
YNCB0017C	NC_001134.8	643007	643078	-	72	3
YNCB0018W	NC_001134.8	645167	645238	+	72	125
YBR210W	NC_001134.8	645550	645978	+	429	1
YBR211C	NC_001134.8	646158	647132	-	975	2
YBR212W	NC_001134.8	647886	649904	+	2019	4
YBR213W	NC_001134.8	650368	651192	+	825	0
YBR214W	NC_001134.8	651415	652998	+	1584	0
YBR215W	NC_001134.8;NC_001134.8	653356;653453	653368;655317	+;+	1878	4
YBR216C	NC_001134.8	655576	657600	-	2025	14
YBR217W	NC_001134.8	657832	658392	+	561	3
YBR218C	NC_001134.8	658707	662249	-	3543	38
YBR219C	NC_001134.8;NC_001134.8	662499;663003	662581;663303	-;-	384	3
YBR220C	NC_001134.8	662995	664677	-	1683	12
YBR221C	NC_001134.8	665153	666253	-	1101	40
YBR221W-A	NC_001134.8	666538	666642	+	105	0
YBR222C	NC_001134.8	666720	668351	-	1632	3
YBR223C	NC_001134.8	668663	670297	-	1635	2
YBR225W	NC_001134.8	670627	673329	+	2703	3
YBR227C	NC_001134.8	673572	675134	-	1563	4
YBR228W	NC_001134.8	675313	676227	+	915	5
YBR229C	NC_001134.8	676357	679221	-	2865	12
YBR230C	NC_001134.8;NC_001134.8	679549;680040	679942;680050	-;-	405	5
YBR230W-A	NC_001134.8	680362	680562	+	201	0
YNCB0019C	NC_001134.8	680688	681862	-	1175	4350
YBR231C	NC_001134.8	682179	683090	-	912	7
YBR233W	NC_001134.8	683428	684669	+	1242	3
YBR233W-A	NC_001134.8	684977	685261	+	285	1
YBR234C	NC_001134.8	685438	686592	-	1155	8
YBR235W	NC_001134.8	686901	690263	+	3363	17
YBR236C	NC_001134.8	690383	691693	-	1311	5
YBR237W	NC_001134.8	691969	694518	+	2550	4
YBR238C	NC_001134.8	695107	697302	-	2196	16
YBR239C	NC_001134.8	698354	699943	-	1590	3
YBR240C	NC_001134.8	700490	701842	-	1353	0
