# Program:featureCounts v2.0.2; Command:"c:/bmes/featurecounts.w64.exe" "-a" "C:\Users\GavinGao\AppData\Local\Temp\bmes\GCF_000146045.2_R64_genomic.gffGCF_000146045.2_R64045146000GCFallgenomesftp.ncbi.nlm.nih.gov" "-o" "wildtype.txt" "C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302790_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam" "-O" "--tmpDir" "C:/Users/GavinGao/AppData/Local/Temp/bmes" "-T" "32" "-t" "exon" "-g" "locus_tag" 
Geneid	Chr	Start	End	Strand	Length	C:/Users/GavinGao/AppData/Local/Temp/bmes/SRR1302790_pass.randsamplernaseq.dbp2ftpsacan.biomed.drexel.edu.fastq.sam
YAR003W	NC_001133.9	155005	156285	+	1281	0
YAR007C	NC_001133.9	156754	158619	-	1866	2
YAR008W	NC_001133.9	158966	159793	+	828	0
YAR009C	NC_001133.9	160597	164187	-	3591	12
YAR010C	NC_001133.9	164544	165866	-	1323	5
YNCA0004W	NC_001133.9	166267	166339	+	73	4
YAR014C	NC_001133.9	166742	168871	-	2130	3
YAR015W	NC_001133.9	169375	170295	+	921	8
YAR018C	NC_001133.9	170396	171703	-	1308	1
YAR019C	NC_001133.9	172211	175135	-	2925	0
YAR020C	NC_001133.9	176856	177023	-	168	0
YAR023C	NC_001133.9	179281	179820	-	540	0
YNCA0005W	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	6
YNCA0006C	NC_001133.9	182522	182603	-	82	3
YAR027W	NC_001133.9	183770	184477	+	708	0
YAR028W	NC_001133.9	184892	185596	+	705	3
YAR029W	NC_001133.9	186321	186545	+	225	0
YAR031W	NC_001133.9	186836	187732	+	897	0
YAR033W	NC_001133.9	188107	188811	+	705	0
YAR035W	NC_001133.9	190193	192256	+	2064	0
YAR035C-A	NC_001133.9	192337	192417	-	81	0
YAR042W	NC_001133.9	192619	196185	+	3567	1
YAR050W	NC_001133.9	203403	208016	+	4614	0
YAR061W	NC_001133.9	218140	219145	+	1006	0
YAR064W	NC_001133.9	220198	220497	+	300	0
YAR066W	NC_001133.9	221049	221660	+	612	0
YAR068W	NC_001133.9	222406	222891	+	486	0
YAR071W	NC_001133.9	225460	226863	+	1404	11
YBL113C	NC_001134.8	280	2658	-	2379	2
YBL112C	NC_001134.8	2582	2899	-	318	0
YBL111C	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	1
YBL108C-A	NC_001134.8	7605	7733	-	129	0
YNCB0001W	NC_001134.8	9583	9666	+	84	0
YBL107C	NC_001134.8	9961	10551	-	591	0
YBL106C	NC_001134.8	10847	13879	-	3033	1
YBL105C	NC_001134.8	14241	17696	-	3456	1
YBL104C	NC_001134.8	18177	21293	-	3117	4
YBL103C	NC_001134.8	22076	23536	-	1461	1
YBL102W	NC_001134.8	24098	24745	+	648	0
YBL101C	NC_001134.8	24946	28299	-	3354	1
YBL100W-C	NC_001134.8	28427	28546	+	120	0
YBL100W-B	NC_001134.8	29935	35248	+	5314	12
YBL100W-A	NC_001134.8	29935	31251	+	1317	1
YNCB0002W	NC_001134.8;NC_001134.8	36398;36453	36434;36488	+;+	73	1
YBL099W	NC_001134.8	37053	38690	+	1638	2
YBL098W	NC_001134.8	39145	40527	+	1383	0
YBL097W	NC_001134.8	40831	43095	+	2265	4
YBL095W	NC_001134.8	43277	44089	+	813	0
YBL093C	NC_001134.8	44256	44918	-	663	0
YBL092W	NC_001134.8	45978	46370	+	393	15
YBL091C-A	NC_001134.8;NC_001134.8	46565;47147	47058;47180	-;-	528	0
YBL091C	NC_001134.8	47363	48628	-	1266	5
YBL090W	NC_001134.8	48825	49358	+	534	0
YBL089W	NC_001134.8	49574	50953	+	1380	1
YBL088C	NC_001134.8	51019	59382	-	8364	1
YBL087C	NC_001134.8;NC_001134.8	59822;60698	60193;60739	-;-	414	52
YBL086C	NC_001134.8	61202	62602	-	1401	0
YBL085W	NC_001134.8	63876	66818	+	2943	0
YBL084C	NC_001134.8	67169	69445	-	2277	0
YBL082C	NC_001134.8	69751	71127	-	1377	4
YBL081W	NC_001134.8	71866	72972	+	1107	0
YBL080C	NC_001134.8	73070	74695	-	1626	0
YBL079W	NC_001134.8	75259	79767	+	4509	1
YBL078C	NC_001134.8	80378	80731	-	354	0
YBL076C	NC_001134.8	81043	84261	-	3219	42
YBL075C	NC_001134.8	84499	86448	-	1950	2
YBL074C	NC_001134.8	86722	87789	-	1068	0
YNCB0003W	NC_001134.8	88190	88277	+	88	80
YBL072C	NC_001134.8	88523	89125	-	603	65
YBL071C-B	NC_001134.8	89458	89556	-	99	0
YBL071W-A	NC_001134.8	89978	90226	+	249	0
YBL071C	NC_001134.8	90223	90531	-	309	0
YBL069W	NC_001134.8	90741	92030	+	1290	1
YBL068W	NC_001134.8	92414	93394	+	981	0
YBL067C	NC_001134.8	93639	95882	-	2244	1
YBL066C	NC_001134.8	96669	100115	-	3447	2
YBL064C	NC_001134.8	100371	101156	-	786	0
YBL063W	NC_001134.8	101886	105221	+	3336	1
YBL061C	NC_001134.8	105316	107406	-	2091	2
YBL060W	NC_001134.8	107932	109995	+	2064	0
YBL059C-A	NC_001134.8;NC_001134.8	110125;110506	110420;110539	-;-	330	1
YBL059W	NC_001134.8;NC_001134.8	110594;110949	110879;111244	+;+	582	0
YBL058W	NC_001134.8	111437	112708	+	1272	6
YBL057C	NC_001134.8	112801	113427	-	627	3
YBL056W	NC_001134.8	113762	115168	+	1407	7
YBL055C	NC_001134.8	115573	116829	-	1257	3
YBL054W	NC_001134.8	117589	119166	+	1578	0
YBL052C	NC_001134.8	119379	121874	-	2496	0
YBL051C	NC_001134.8	122753	124759	-	2007	2
YBL050W	NC_001134.8;NC_001134.8	125125;125271	125154;126119	+;+	879	5
YBL049W	NC_001134.8	126828	127244	+	417	0
YBL048W	NC_001134.8	127299	127610	+	312	0
YBL047C	NC_001134.8	127895	132040	-	4146	4
YBL046W	NC_001134.8	132424	133749	+	1326	1
YBL045C	NC_001134.8	134143	135516	-	1374	0
YBL044W	NC_001134.8	135998	136366	+	369	0
YBL043W	NC_001134.8	136688	137461	+	774	0
YBL042C	NC_001134.8	138341	140260	-	1920	0
YBL041W	NC_001134.8	141247	141972	+	726	1
YBL040C	NC_001134.8;NC_001134.8	142112;142847	142749;142868	-;-	660	1
YBL039W-B	NC_001134.8	143393	143572	+	180	0
YBL039C	NC_001134.8	143989	145728	-	1740	14
YBL038W	NC_001134.8	146187	146885	+	699	0
YBL037W	NC_001134.8	147209	150286	+	3078	0
YBL036C	NC_001134.8	150447	151220	-	774	1
YBL035C	NC_001134.8	151493	153610	-	2118	1
YBL034C	NC_001134.8	153848	158389	-	4542	0
YBL033C	NC_001134.8	158656	159693	-	1038	3
YBL032W	NC_001134.8	160184	161329	+	1146	3
YBL031W	NC_001134.8	161699	162715	+	1017	0
YBL030C	NC_001134.8	163041	163997	-	957	0
YBL029C-A	NC_001134.8	164488	164772	-	285	0
YBL029W	NC_001134.8	166134	167264	+	1131	0
YBL028C	NC_001134.8	167518	167838	-	321	2
YBL027W	NC_001134.8;NC_001134.8	168423;168809	168424;169376	+;+	570	18
YBL026W	NC_001134.8;NC_001134.8	170623;170805	170676;171038	+;+	288	0
YBL025W	NC_001134.8	171481	171918	+	438	0
YBL024W	NC_001134.8	172534	174588	+	2055	8
YBL023C	NC_001134.8	174920	177526	-	2607	1
YBL022C	NC_001134.8	177874	181275	-	3402	5
YBL021C	NC_001134.8	181660	182094	-	435	0
YBL020W	NC_001134.8	182401	184125	+	1725	3
YBL019W	NC_001134.8	184353	185915	+	1563	0
YBL018C	NC_001134.8;NC_001134.8	185998;186428	186352;186474	-;-	402	0
YBL017C	NC_001134.8	186844	191583	-	4740	5
YBL016W	NC_001134.8	192451	193512	+	1062	2
YBL015W	NC_001134.8	194122	195702	+	1581	2
YNCB0004W	NC_001134.8	197494	197567	+	74	0
YNCB0005C	NC_001134.8	197629	197699	-	71	0
YBL014C	NC_001134.8	199064	201748	-	2685	2
YBL013W	NC_001134.8	202056	203261	+	1206	1
YBL011W	NC_001134.8	203538	205817	+	2280	1
YBL010C	NC_001134.8	206107	206949	-	843	0
YBL009W	NC_001134.8	207194	209224	+	2031	1
YBL008W-A	NC_001134.8	209409	209648	+	240	0
YBL008W	NC_001134.8	209653	212175	+	2523	1
YBL007C	NC_001134.8	212632	216366	-	3735	4
YBL006C	NC_001134.8	216587	217129	-	543	1
YBL005W	NC_001134.8	217470	220400	+	2931	0
YBL005W-B	NC_001134.8	221330	226598	+	5269	33
YBL005W-A	NC_001134.8	221330	222652	+	1323	3
YNCB0006W	NC_001134.8	227075	227156	+	82	0
YBL004W	NC_001134.8	227636	235117	+	7482	7
YBL003C	NC_001134.8	235394	235792	-	399	11
YBL002W	NC_001134.8	236492	236887	+	396	0
YBL001C	NC_001134.8	237153	237467	-	315	3
YBR001C	NC_001134.8	238941	241283	-	2343	2
YBR002C	NC_001134.8	241708	242568	-	861	1
YBR003W	NC_001134.8	242809	244230	+	1422	0
YBR004C	NC_001134.8	244366	245667	-	1302	0
YBR005W	NC_001134.8	245906	246547	+	642	1
YBR006W	NC_001134.8	247010	248503	+	1494	0
YBR007C	NC_001134.8	248806	251016	-	2211	0
YBR008C	NC_001134.8	252563	254209	-	1647	0
YBR009C	NC_001134.8	255373	255684	-	312	6
YBR010W	NC_001134.8	256331	256741	+	411	20
YBR011C	NC_001134.8	257112	257975	-	864	4
YBR012W-B	NC_001134.8	259869	265140	+	5272	16
YBR012W-A	NC_001134.8	259869	261191	+	1323	2
YBR013C	NC_001134.8	265492	265881	-	390	0
YNCB0007W	NC_001134.8	266378	266450	+	73	1
YBR014C	NC_001134.8	266725	267336	-	612	2
YBR015C	NC_001134.8	267710	269503	-	1794	1
YBR016W	NC_001134.8	270247	270633	+	387	0
YBR017C	NC_001134.8	270947	273703	-	2757	3
YBR018C	NC_001134.8	274427	275527	-	1101	0
YBR019C	NC_001134.8	276253	278352	-	2100	0
YNCB0008W	NC_001134.8	276805	280645	+	3841	0
YBR020W	NC_001134.8	279021	280607	+	1587	0
YBR021W	NC_001134.8	281443	283344	+	1902	0
YBR022W	NC_001134.8	283738	284271	+	534	0
YBR023C	NC_001134.8	284428	287925	-	3498	3
YBR024W	NC_001134.8	289445	290350	+	906	1
YBR025C	NC_001134.8	290681	291865	-	1185	3
YBR026C	NC_001134.8	292877	294019	-	1143	4
YBR027C	NC_001134.8	294024	294356	-	333	0
YBR028C	NC_001134.8	294425	296002	-	1578	0
YBR029C	NC_001134.8	296369	297742	-	1374	0
YBR030W	NC_001134.8	298292	299950	+	1659	5
YBR031W	NC_001134.8	300166	301254	+	1089	23
YBR032W	NC_001134.8	301519	301821	+	303	0
YBR033W	NC_001134.8	301944	304703	+	2760	0
YBR034C	NC_001134.8	304930	305976	-	1047	0
YBR035C	NC_001134.8	306269	306955	-	687	4
YNCB0009C	NC_001134.8	307185	307345	-	161	13
YNCB0010W	NC_001134.8	307587	308887	+	1301	11
YBR036C	NC_001134.8	309081	310313	-	1233	0
YBR037C	NC_001134.8	310565	311452	-	888	0
YBR038W	NC_001134.8	311898	314789	+	2892	0
YBR039W	NC_001134.8	315575	316510	+	936	0
YBR040W	NC_001134.8	316968	317864	+	897	0
YBR041W	NC_001134.8	318266	320275	+	2010	3
YBR042C	NC_001134.8	320416	321609	-	1194	0
YBR043C	NC_001134.8	321876	323945	-	2070	0
YBR044C	NC_001134.8	324341	326059	-	1719	1
YNCB0011C	NC_001134.8	326792	326865	-	74	0
YBR045C	NC_001134.8	328173	330092	-	1920	0
YBR046C	NC_001134.8	330507	331511	-	1005	0
YBR047W	NC_001134.8	331833	332360	+	528	0
YBR048W	NC_001134.8;NC_001134.8	332831;333387	332875;333812	+;+	471	6
YBR049C	NC_001134.8	334386	336818	-	2433	0
YBR050C	NC_001134.8	337183	338199	-	1017	0
YBR052C	NC_001134.8	338720	339352	-	633	1
YBR053C	NC_001134.8	339675	340751	-	1077	0
YBR054W	NC_001134.8	343101	344135	+	1035	2
YBR055C	NC_001134.8	344602	347301	-	2700	2
YNCB0012W	NC_001134.8	347603	347686	+	84	0
YBR056W	NC_001134.8	347879	349384	+	1506	2
YNCB0013W	NC_001134.8	350827	350898	+	72	94
YBR056W-A	NC_001134.8	351255	351455	+	201	0
YBR057C	NC_001134.8	352193	353293	-	1101	1
YBR058C	NC_001134.8	353672	356017	-	2346	2
YBR058C-A	NC_001134.8	356324	356566	-	243	3
YBR059C	NC_001134.8	356861	360187	-	3327	1
YBR060C	NC_001134.8	360652	362514	-	1863	1
YBR061C	NC_001134.8	364787	365719	-	933	0
YBR062C	NC_001134.8;NC_001134.8	365976;366585	366502;366600	-;-	543	2
YBR063C	NC_001134.8	366970	368184	-	1215	0
YBR065C	NC_001134.8	368584	369678	-	1095	3
YBR066C	NC_001134.8	370037	370699	-	663	0
YBR067C	NC_001134.8	372103	372735	-	633	2
YBR068C	NC_001134.8	373861	375690	-	1830	10
YBR069C	NC_001134.8	376574	378433	-	1860	13
YNCB0014W	NC_001134.8	376610	378633	+	2024	13
YBR070C	NC_001134.8	379221	379934	-	714	0
YBR071W	NC_001134.8	380411	381046	+	636	0
YBR072W	NC_001134.8	382030	382674	+	645	0
YBR072C-A	NC_001134.8	382860	383021	-	162	0
YBR073W	NC_001134.8	383112	385988	+	2877	8
YBR074W	NC_001134.8	386286	389216	+	2931	5
YBR076W	NC_001134.8	390227	391291	+	1065	0
YBR077C	NC_001134.8	391805	392293	-	489	0
YBR078W	NC_001134.8;NC_001134.8	393123;393511	393180;394742	+;+	1290	10
YBR079C	NC_001134.8	395383	398277	-	2895	3
YBR080C	NC_001134.8	398614	400890	-	2277	0
YBR081C	NC_001134.8	401253	405251	-	3999	2
YNCB0015W	NC_001134.8	405878	405949	+	72	0
YNCB0016W	NC_001134.8	405960	406031	+	72	6
YBR082C	NC_001134.8;NC_001134.8	406628;407123	407027;407169	-;-	447	1
YBR083W	NC_001134.8	409169	410629	+	1461	0
YBR084W	NC_001134.8	411054	413981	+	2928	15
YBR084C-A	NC_001134.8;NC_001134.8	414186;415260	414753;415261	-;-	570	15
YBR085W	NC_001134.8	415983	416906	+	924	0
YBR085C-A	NC_001134.8	418907	419164	-	258	1
YBR086C	NC_001134.8	420201	423041	-	2841	0
YBR087W	NC_001134.8	423765	424829	+	1065	0
YBR088C	NC_001134.8	424990	425766	-	777	1
YBR089C-A	NC_001134.8	426190	426489	-	300	0
YBR090C	NC_001134.8;NC_001134.8	426333;426874	426516;427058	-;-	369	0
YBR091C	NC_001134.8	427155	427484	-	330	0
YBR092C	NC_001134.8	427698	429101	-	1404	2
YBR093C	NC_001134.8	429548	430951	-	1404	0
YBR094W	NC_001134.8	432036	434297	+	2262	2
YBR095C	NC_001134.8	434406	435698	-	1293	2
YBR096W	NC_001134.8	436021	436713	+	693	5
YBR097W	NC_001134.8	436951	441315	+	4365	1
YBR098W	NC_001134.8	441515	443590	+	2076	0
YBR101C	NC_001134.8	443821	444693	-	873	2
YBR102C	NC_001134.8	445062	447323	-	2262	0
YBR103W	NC_001134.8	447709	449316	+	1608	1
YBR104W	NC_001134.8	449667	450656	+	990	2
YBR105C	NC_001134.8	450881	451969	-	1089	0
YBR106W	NC_001134.8	452658	453224	+	567	17
YBR107C	NC_001134.8	453793	454530	-	738	0
YBR108W	NC_001134.8	454822	457665	+	2844	0
YBR109C	NC_001134.8	457919	458362	-	444	0
YBR110W	NC_001134.8	458872	460221	+	1350	1
YBR111C	NC_001134.8	461178	461873	-	696	0
YBR111W-A	NC_001134.8;NC_001134.8;NC_001134.8	462139;462290;462500	462209;462429;462579	+;+;+	291	0
YBR112C	NC_001134.8	462870	465770	-	2901	0
YBR114W	NC_001134.8	467248	469620	+	2373	0
YBR115C	NC_001134.8	469748	473926	-	4179	7
YBR117C	NC_001134.8	474392	476437	-	2046	0
YBR118W	NC_001134.8	477671	479047	+	1377	398
YBR119W	NC_001134.8;NC_001134.8	479338;479435	479345;480323	+;+	897	0
YBR120C	NC_001134.8	480435	480923	-	489	0
YBR121C	NC_001134.8	481364	483367	-	2004	13
YBR122C	NC_001134.8	483970	484503	-	534	2
YBR123C	NC_001134.8	484742	486691	-	1950	0
YBR125C	NC_001134.8	487199	488380	-	1182	1
YBR126C	NC_001134.8	488905	490392	-	1488	6
YBR126W-A	NC_001134.8	490850	491056	+	207	6
YBR127C	NC_001134.8	491269	492822	-	1554	21
YBR128C	NC_001134.8	493081	494115	-	1035	0
YBR129C	NC_001134.8	494353	495339	-	987	0
YBR130C	NC_001134.8	495592	496869	-	1278	0
YBR131W	NC_001134.8	497163	499277	+	2115	0
YBR132C	NC_001134.8	499652	501442	-	1791	0
YBR133C	NC_001134.8	501804	504287	-	2484	5
YBR135W	NC_001134.8	504854	505306	+	453	0
YBR136W	NC_001134.8	505668	512774	+	7107	2
YBR137W	NC_001134.8	513044	513583	+	540	2
YBR138C	NC_001134.8	513762	515336	-	1575	0
YBR139W	NC_001134.8	515664	517190	+	1527	0
YBR140C	NC_001134.8	517350	526628	-	9279	0
YBR141C	NC_001134.8	527025	528038	-	1014	0
YBR142W	NC_001134.8	528317	530638	+	2322	3
YBR143C	NC_001134.8	530869	532182	-	1314	9
YBR144C	NC_001134.8	533235	533549	-	315	0
YBR145W	NC_001134.8	533762	534817	+	1056	2
YBR146W	NC_001134.8	535260	536096	+	837	0
YBR147W	NC_001134.8	536575	537465	+	891	0
YBR148W	NC_001134.8	537876	539705	+	1830	0
YBR149W	NC_001134.8	539987	541021	+	1035	1
YBR150C	NC_001134.8	541209	544493	-	3285	1
YBR151W	NC_001134.8	545028	545978	+	951	1
YBR152W	NC_001134.8	546376	547251	+	876	0
YBR153W	NC_001134.8	547460	548194	+	735	0
YBR154C	NC_001134.8	548362	549009	-	648	1
YBR155W	NC_001134.8	549771	550928	+	1158	3
YBR156C	NC_001134.8	551104	553200	-	2097	0
YBR157C	NC_001134.8	553543	554310	-	768	0
YBR158W	NC_001134.8	556549	558198	+	1650	1
YBR159W	NC_001134.8	558685	559728	+	1044	1
YBR160W	NC_001134.8	560078	560974	+	897	1
YBR161W	NC_001134.8	561634	562764	+	1131	0
YBR162C	NC_001134.8	563203	564570	-	1368	2
YBR162W-A	NC_001134.8	565231	565428	+	198	2
YBR163W	NC_001134.8	565723	567480	+	1758	1
YBR164C	NC_001134.8	567875	568426	-	552	1
YBR165W	NC_001134.8	568852	569685	+	834	0
YBR166C	NC_001134.8	569842	571200	-	1359	2
YBR167C	NC_001134.8	571468	571890	-	423	0
YBR168W	NC_001134.8	572371	573612	+	1242	4
YBR169C	NC_001134.8	573915	575996	-	2082	0
YBR170C	NC_001134.8	576344	578086	-	1743	0
YBR171W	NC_001134.8	578364	578984	+	621	0
YBR172C	NC_001134.8	579150	581372	-	2223	0
YBR173C	NC_001134.8	581726	582172	-	447	0
YBR175W	NC_001134.8	582408	583355	+	948	0
YBR176W	NC_001134.8	583720	584658	+	939	0
YBR177C	NC_001134.8	584807	586162	-	1356	0
YBR179C	NC_001134.8	586547	589114	-	2568	0
YBR180W	NC_001134.8	589741	591459	+	1719	1
YBR181C	NC_001134.8;NC_001134.8	591712;592769	592416;592774	-;-	711	99
YBR182C	NC_001134.8	593506	594864	-	1359	0
YBR182C-A	NC_001134.8	595361	595555	-	195	0
YBR183W	NC_001134.8	596115	597065	+	951	0
YBR184W	NC_001134.8	597363	598934	+	1572	0
YBR185C	NC_001134.8	599123	599959	-	837	0
YBR186W	NC_001134.8;NC_001134.8	600553;602217	602103;602360	+;+	1695	0
YBR187W	NC_001134.8	602634	603476	+	843	5
YBR188C	NC_001134.8	603685	604107	-	423	0
YBR189W	NC_001134.8;NC_001134.8	604508;604928	604514;605508	+;+	588	22
YBR191W	NC_001134.8;NC_001134.8	606270;606669	606280;607140	+;+	483	22
YBR192W	NC_001134.8	607652	608785	+	1134	0
YBR193C	NC_001134.8	609082	609753	-	672	0
YBR194W	NC_001134.8	610038	610409	+	372	0
YBR195C	NC_001134.8	610614	611882	-	1269	1
YBR196C	NC_001134.8	612236	613900	-	1665	88
YBR196C-A	NC_001134.8	614024	614173	-	150	0
YBR196C-B	NC_001134.8	614526	614630	-	105	0
YBR197C	NC_001134.8	615203	615856	-	654	0
YBR198C	NC_001134.8	616127	618523	-	2397	1
YBR199W	NC_001134.8	618909	620303	+	1395	0
YBR200W	NC_001134.8	620872	622527	+	1656	5
YBR200W-A	NC_001134.8	622983	623147	+	165	0
YBR201W	NC_001134.8	623576	624211	+	636	2
YBR201C-A	NC_001134.8	624493	624696	-	204	0
YBR202W	NC_001134.8	625772	628309	+	2538	0
YBR203W	NC_001134.8	629168	631942	+	2775	0
YBR204C	NC_001134.8	632254	633381	-	1128	1
YBR205W	NC_001134.8	633622	634836	+	1215	4
YBR207W	NC_001134.8	635146	636543	+	1398	5
YBR208C	NC_001134.8	636703	642210	-	5508	1
YBR209W	NC_001134.8	642583	642900	+	318	0
YNCB0017C	NC_001134.8	643007	643078	-	72	1
YNCB0018W	NC_001134.8	645167	645238	+	72	16
YBR210W	NC_001134.8	645550	645978	+	429	1
YBR211C	NC_001134.8	646158	647132	-	975	3
YBR212W	NC_001134.8	647886	649904	+	2019	0
YBR213W	NC_001134.8	650368	651192	+	825	0
YBR214W	NC_001134.8	651415	652998	+	1584	0
YBR215W	NC_001134.8;NC_001134.8	653356;653453	653368;655317	+;+	1878	0
YBR216C	NC_001134.8	655576	657600	-	2025	1
YBR217W	NC_001134.8	657832	658392	+	561	1
YBR218C	NC_001134.8	658707	662249	-	3543	7
YBR219C	NC_001134.8;NC_001134.8	662499;663003	662581;663303	-;-	384	0
YBR220C	NC_001134.8	662995	664677	-	1683	2
YBR221C	NC_001134.8	665153	666253	-	1101	6
YBR221W-A	NC_001134.8	666538	666642	+	105	0
YBR222C	NC_001134.8	666720	668351	-	1632	5
YBR223C	NC_001134.8	668663	670297	-	1635	0
YBR225W	NC_001134.8	670627	673329	+	2703	0
YBR227C	NC_001134.8	673572	675134	-	1563	1
YBR228W	NC_001134.8	675313	676227	+	915	0
YBR229C	NC_001134.8	676357	679221	-	2865	6
YBR230C	NC_001134.8;NC_001134.8	679549;680040	679942;680050	-;-	405	0
YBR230W-A	NC_001134.8	680362	680562	+	201	0
YNCB0019C	NC_001134.8	680688	681862	-	1175	338
YBR231C	NC_001134.8	682179	683090	-	912	2
YBR233W	NC_001134.8	683428	684669	+	1242	0
YBR233W-A	NC_001134.8	684977	685261	+	285	1
YBR234C	NC_001134.8	685438	686592	-	1155	1
YBR235W	NC_001134.8	686901	690263	+	3363	4
YBR236C	NC_001134.8	690383	691693	-	1311	1
YBR237W	NC_001134.8	691969	694518	+	2550	0
YBR238C	NC_001134.8	695107	697302	-	2196	0
YBR239C	NC_001134.8	698354	699943	-	1590	0
YBR240C	NC_001134.8	700490	701842	-	1353	0
